
HLAVICKA,
Po 2. 1.,,,,,IMS,~,~,~,,IEL,~,~,,,,ACH GZN   1;ACH VYPe   2,$P,,$P,,,,,,$P,,,,,,,$PL,$PL,,$P,,$PV,
Po 2. 1.,,,,,ACH,~,GZN,~,,VYPe,~,,,,,GZN VYPe   2;IEL IMS   2,,,,,,,,,,,,,,,,,,,,,,
Po 2. 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 2. 1.,Omez.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 3. 1.,,,,IFJ,~,~,,,TIN,~,~,,,,,,,$P,,$P,,$P,,$P,,$P,,$P,,$P,,$P,,$P,,$P,,
Út 3. 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 3. 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 3. 1.,Omez.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St 4. 1.,,,,,BIS,~,INM (12.15-14.15),~,~,,ISA (1/5),~,,,,INM ISA  52,,$P,$P,,,$PL,$PL,,,,,$PL,$PL,,,,,,$PV,,$P,
St 4. 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St 4. 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St 4. 1.,Omez.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Čt 5. 1.,,,,,IDA (10.00-12.15),~,~,PKS,~,PBI,~,,,,,EIP POV   1;PDI POV   5,$P,,,,$P,,,,,,,,$PV,,$P,,,,$PV,$P,$P,
Čt 5. 1.,,,,,PDI,~,,,,POV,~,,,,,PKS POV   1,,,,,,,,,,,,,$PV,,,,,,$PV,,,
Čt 5. 1.,,,,,EIP,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$PV,,,
Čt 5. 1.,Omez.,,!RKD+4,~,~,~,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá 6. 1.,,,,,PDB,~,IPZ,~,IUS (1/5),~,,,,,,PDB SEN   2;ROS SEN   4,$P,,$P,$P,,,,$P,,,,$P,,,,,,,$PV,$PV,,
Pá 6. 1.,,,,,ROS,~,,,SEN,~,~,,,,,,,,,,,,,,,,,,,,,,,,,$PV,,
Pá 6. 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$PV,,
Pá 6. 1.,Omez.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

HLAVICKA,
Po 9. 1.,,,,,IIS,~,IZP,~,~,ZZN,~,~,,,,,$P,,$P,,$P,,,,,,$P,,$PV,,,,,$PV,,,$PV,
