
HLAVICKA,
Po 8. 5.,D105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 8. 5.,D0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 8. 5.,D0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 8. 5.,E112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 8. 5.,E104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 8. 5.,E105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 8. 5.,G202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 8. 5.,A112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 8. 5.,A113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 8. 5.,Omez.,!Státní svátek+12,~,~,~,~,~,~,~,~,~,~,~,~,~,,,,,,,,,,,,,,,,,,,,,,,
Út 9. 5.,D105,,,,ISU,~,~,PRL,~,~,,,,,,NSB PRL   4,$P,,,$P,,$P,$P,,,$P,,$P,$PV,$P,,$PL,$PL,,,$P,$PV,
Út 9. 5.,D0206,,,,ISU,~,~,PRL,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 9. 5.,D0207,,,,ISU,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 9. 5.,E112,,,,ISU,~,~,IKR,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 9. 5.,E104,,,,ISU,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 9. 5.,E105,,,,ISU,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 9. 5.,G202,,,,ISU,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 9. 5.,A112,,,,ISU,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 9. 5.,A113,,,,NSB,~,,,IBS,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 9. 5.,Omez.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St 10. 5.,D105,,,IZU,~,~,,,ISJ,~,~,,,,,ISJ IZU  19;PES POS   2,,$P,,,,,,$P,,,$P,$P,$PV,$P,,$PL,$PL,,,$PV,,
St 10. 5.,D0206,,,IZU,~,~,,,,,,,,,,POS ZPO   4,,,,,,,,,,,,,,,,,,,,,,
St 10. 5.,D0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St 10. 5.,E112,,,POS,~,~,,ZPO,~,PES,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,
St 10. 5.,E104,,,POS,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St 10. 5.,E105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St 10. 5.,G202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St 10. 5.,A112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St 10. 5.,A113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St 10. 5.,Omez.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Čt 11. 5.,D105,,,,,IMA+1(od 11:30),~,~,~,PIS,~,,,,,BIF PIS   2,$P,,,$P,,$PL,$PL,,,,,,$P,,,,,,$P,,$PV,
Čt 11. 5.,D0206,,,,,IMA+1(od 11:30),~,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,$PV,
Čt 11. 5.,D0207,,,,,IMA+1(od 11:30),~,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Čt 11. 5.,E112,,,,,,,,,ITP,~,,,,,,,,,,,,,,,,,,,,,,,,,,,
Čt 11. 5.,E104,,,BIF,~,,,,NAV,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Čt 11. 5.,E105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Čt 11. 5.,G202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Čt 11. 5.,A112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Čt 11. 5.,A113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Čt 11. 5.,Omez.,!RKD (nelze BIN; FLP; GJA; INC; IPP; IZU; KRY; MUL; NAV; PIS; POS; PRL; WAP; ZPO; ZRE)+5,~,~,~,~,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá 12. 5.,D105,,,,WAP,~,,IPP,~,~,,,,,,EVO WAP   2;IFY IPP   1,,$P,,,,,,,,,,,,,,,,,$PV,,,
Pá 12. 5.,D0206,,,,,,,IPP,~,~,,,,,,,,,,,,,,,,,,,,,,,,,$PV,,,
Pá 12. 5.,D0207,,,,,,,IPP,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá 12. 5.,E112,,EVO,~,,,,IPP,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá 12. 5.,E104,,,,,,,IPP,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá 12. 5.,E105,,,,,,,IPP,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá 12. 5.,G202,,,,,,,IPP,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá 12. 5.,A112,,,,,,,IPP,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá 12. 5.,A113,,,IFY,~,,,IPP,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá 12. 5.,Omez.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

HLAVICKA,
Po 15. 5.,D105,,,PDS,~,,,IZG,~,,,,,,,BIN PDS   8,,$P,,$P,,$P,,$P,,,,$P,,,,,,$P,,$P,,
Po 15. 5.,D0206,,,PDS,~,,,IZG,~,,,,,,,,,,,,,,,,,,,,,,,,,$PV,,,,
Po 15. 5.,D0207,,,,,,,IZG,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 15. 5.,E112,,,,,,,,,BIN,~,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 15. 5.,E104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 15. 5.,E105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 15. 5.,G202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 15. 5.,A112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 15. 5.,A113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po 15. 5.,Omez.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 16. 5.,D105,,,,,,IOS,~,~,~,~,KRY,~,,,KRY MPR   3,$P,,,,,,$P,$P,,,,$P,$PV,$P,,,,$PV,,$PV,,
Út 16. 5.,D0206,,,ITS,~,,IOS,~,~,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 16. 5.,D0207,,,FYO,~,,IOS,~,~,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 16. 5.,E112,,,MPR,~,~,IOS,~,~,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 16. 5.,E104,,,,,,IOS,~,~,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 16. 5.,E105,,,,,,IOS,~,~,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 16. 5.,G202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 16. 5.,A112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 16. 5.,A113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Út 16. 5.,Omez.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St 17. 5.,D105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St 17. 5.,D0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
